x_atc,lat_ph,lon_ph,depth,depth_no_refraction,sd
9041022.5,80.89055979702717,-109.23534510722332,-0.5005244688533528,-0.6710887809009014,0.20957036209577878
9041025.0,80.89057830081248,-109.23537268083001,-0.48300035458867624,-0.647592953603604,0.20589467438646228
9041027.5,80.8905968045978,-109.23540025443668,-0.4654762403239997,-0.6240971263063066,0.2022189866771458
9041030.0,80.89061517648602,-109.23542901762329,-0.43563727124030543,-0.5840898966266264,0.21037981941668885
9041032.5,80.89063354837423,-109.23545778080988,-0.40579830215661117,-0.5440826669469461,0.21854065215623195
9041035.0,80.89064288054948,-109.23547086333735,-0.41899316464563474,-0.5617739582482475,0.2228813343145449
9041037.5,80.89065221272475,-109.23548394586484,-0.43218802713465826,-0.5794652495495489,0.22722201647285784
9041040.0,80.89069221219725,-109.23554458445412,-0.43949560150517325,-0.5892630346346341,0.2182470659713206
9041042.5,80.89073221166976,-109.2356052230434,-0.44680317587568824,-0.5990608197197194,0.2092721154697833
9041045.0,80.89074449331852,-109.23562413260194,-0.5015528731098708,-0.6724676356856856,0.21169329069361395
9041047.5,80.89075677496729,-109.23564304216048,-0.5563025703440534,-0.7458744516516518,0.21411446591744457
9041050.0,80.89078448856966,-109.23568492061182,-0.5907810482263796,-0.792102201001001,0.19684948473692856
9041052.5,80.89081220217203,-109.23572679906314,-0.6252595261087057,-0.8383299503503503,0.17958450355641253
9041055.0,80.89083370476277,-109.23575987981027,-0.8194277962881219,-1.0986651703703703,0.17712237702525477
9041057.5,80.89085520735352,-109.2357929605574,-1.013596066467538,-1.3590003903903902,0.17466025049409703
9041060.0,80.89087988683488,-109.23582988381034,-0.9512536241675048,-1.2754134406906905,0.19816789802245038
9041062.5,80.89090456631625,-109.23586680706326,-0.8889111818674715,-1.1918264909909908,0.2216755455508037
9041065.0,80.89092610341191,-109.23589966547482,-1.1753698947766518,-1.5759020764764762,0.19978967239421871
9041067.5,80.89094764050756,-109.23593252388638,-1.461828607685832,-1.9599776619619615,0.1779037992376337
9041070.0,80.8909660771885,-109.23596095675916,-1.4463857166853236,-1.9392722788288284,0.17639409539339088
9041072.5,80.89098451386944,-109.23598938963192,-1.4309428256848151,-1.9185668956956952,0.17488439154914806
9041075.0,80.89100611020771,-109.23602183240335,-1.4944494114849265,-2.003714695445445,0.20164588662883398
9041077.5,80.891027706546,-109.23605427517478,-1.5579559972850379,-2.088862495195195,0.2284073817085199
9041080.0,80.89104928412652,-109.23608694201454,-1.5127896736254243,-2.02830479029029,0.21010822855457778
9041082.5,80.89107086170706,-109.23611960885428,-1.4676233499658107,-1.9677470853853851,0.19180907540063571
9041085.0,80.89109550371552,-109.23615718705506,-1.4524107522368352,-1.9473504728328326,0.184795637604723
9041087.5,80.89112014572396,-109.23619476525585,-1.4371981545078598,-1.92695386028028,0.17778219980881033
9041090.0,80.89113866075417,-109.23622268204603,-1.444567909339321,-1.9368350151351348,0.17978465530896476
9041092.5,80.89115717578439,-109.23625059883622,-1.4519376641707824,-1.9467161699899895,0.1817871108091192
9041095.0,80.89117855515008,-109.23628391802539,-1.4732882956252804,-1.975342481241241,0.1493839589187564
9041097.5,80.89119993451578,-109.23631723721456,-1.4946389270797782,-2.0039687924924925,0.11698080702839354
9041100.0,80.8912216624805,-109.23634953675963,-1.4748156415046068,-1.9773903025725725,0.15104405619767292
9041102.5,80.89124339044523,-109.23638183630472,-1.4549923559294355,-1.9508118126526526,0.18510730536695227
9041105.0,80.89126501200752,-109.2364151415016,-1.3282547862556526,-1.7808857322722722,0.17567387166656345
9041107.5,80.89128663356982,-109.23644844669846,-1.2015172165818697,-1.6109596518918918,0.16624043796617466
9041110.0,80.89130212401895,-109.23647185558913,-0.9139597637797425,-1.2254109076276276,0.17203582835652573
9041112.5,80.8913176144681,-109.2364952644798,-0.6264023109776155,-0.8398621633633634,0.1778312187468768
9041115.0,80.89134863051584,-109.23654182236734,-0.5682369897720055,-0.7618757772272271,0.19436638633579068
9041117.5,80.89137964656358,-109.23658838025489,-0.5100716685663956,-0.6838893910910908,0.21090155392470453
9041120.0,80.89140131135045,-109.23662142926361,-0.49559369837476197,-0.6644777459659656,0.2150978427594033
9041122.5,80.8914229761373,-109.23665447827231,-0.48111572818312826,-0.6450661008408405,0.21929413159410213
9041125.0,80.89144461475749,-109.23668779401342,-0.47524456618802013,-0.637194216066066,0.21312905257061418
9041127.5,80.89146625337767,-109.23672110975454,-0.469373404192912,-0.6293223312912914,0.20696397354712623
9041130.0,80.89148798100926,-109.23675363877301,-0.5027561468400806,-0.6740809504204206,0.21342141048593566
9041132.5,80.89150970864085,-109.23678616779148,-0.5361388894872492,-0.7188395695495498,0.219878847424745
9041135.0,80.89153437758921,-109.2368248007852,-0.5263542421481333,-0.7057205964264268,0.2336350857517075
9041137.5,80.89155904653755,-109.23686343377894,-0.5165695948090174,-0.6926016233033039,0.24739132407867004
9041140.0,80.8915808140564,-109.23689561646731,-0.4911295117273155,-0.6584922931831834,0.1766103665402061
9041142.5,80.89160258157524,-109.23692779915568,-0.4656894286456136,-0.6243829630630628,0.10582940900174213
9041145.0,80.89162428419976,-109.2369605562902,-0.4799855422032203,-0.6435507800550551,0.15573010812341012
9041147.5,80.8916459868243,-109.23699331342472,-0.4942816557608271,-0.6627185970470473,0.2056308072450781
9041150.0,80.89166457173198,-109.23702152999965,-0.4686210086364867,-0.6283135410160159,0.1920452877307399
9041152.5,80.89168315663966,-109.2370497465746,-0.4429603615121463,-0.5939084849849845,0.1784597682164017
9041155.0,80.89170476181442,-109.237083330879,-0.4313311371495131,-0.5783163561561557,0.1827106706860407
9041157.5,80.8917263669892,-109.2371169151834,-0.4197019127868799,-0.562724227327327,0.18696157315567966
9041160.0,80.89174812649557,-109.2371490735139,-0.3925670559407358,-0.5263425933933932,0.19217747192401038
