x_atc,lat_ph,lon_ph,depth,depth_no_refraction,sd
9053880.5,81.01611106508737,-120.46340634738708,-0.2623367660614838,-0.35173357443443365,0.18467413663657184
9053883.0,81.01613273926185,-120.46343969851671,-0.2580690165181836,-0.34601149885885807,0.18600112911224836
9053885.5,81.01615441343631,-120.46347304964635,-0.2538012669748834,-0.3402894232832825,0.1873281215879249
9053888.0,81.01617608368082,-120.46350644795339,-0.25995906085360065,-0.34854561582582555,0.18792902932796046
9053890.5,81.01619775392531,-120.46353984626045,-0.26611685473231783,-0.3568018083683686,0.188529937067996
9053893.0,81.01621942648246,-120.46357324127926,-0.2811398927133456,-0.376944264674675,0.19337358780279204
9053895.5,81.01624109903962,-120.46360663629808,-0.29616293069437344,-0.3970867209809814,0.19821723853758805
9053898.0,81.01626593387743,-120.46364423774622,-0.30283983646371915,-0.40603892378378426,0.20139127830276135
9053900.5,81.01629076871524,-120.46368183919436,-0.3095167422330648,-0.4149911265865871,0.2045653180679347
9053903.0,81.01630930344317,-120.4637108140817,-0.37995712131878856,-0.5094355565165167,0.2346541301377821
9053905.5,81.0163278381711,-120.46373978896902,-0.4503975004045124,-0.6038799864464464,0.2647429422076295
9053908.0,81.01635570809083,-120.46378267233695,-0.5304990575924589,-0.7112778455055055,0.23799280208161946
9053910.5,81.01638357801055,-120.46382555570489,-0.6106006147804053,-0.8186757045645647,0.21124266195560948
9053913.0,81.016399137712,-120.46384872352039,-0.6190066573462868,-0.8299462841441443,0.20245456469427686
9053915.5,81.01641469741347,-120.4638718913359,-0.6274126999121683,-0.8412168637237238,0.19366646743294424
9053918.0,81.01643636233646,-120.4639053158943,-0.66977071204216,-0.8980092654754754,0.2120760381394962
9053920.5,81.01645802725947,-120.46393874045268,-0.7121287241721517,-0.954801667227227,0.23048560884604813
9053923.0,81.01647969852908,-120.463972086533,-0.7604224066208389,-1.0195524446546544,0.24468990848780042
9053925.5,81.01650136979868,-120.46400543261332,-0.8087160890695261,-1.0843032220820819,0.2588942081295527
9053928.0,81.01652614177776,-120.4640434563312,-0.8307188772218411,-1.113803926236236,0.2547445095540574
9053930.5,81.01655091375684,-120.46408148004907,-0.8527216653741562,-1.1433046303903902,0.2505948109785621
9053933.0,81.01656944479919,-120.4641103925773,-0.8747244535264713,-1.1728053345445444,0.22758628310073326
9053935.5,81.01658797584152,-120.46413930510552,-0.8967272416787864,-1.2023060386986986,0.20457775522290442
9053938.0,81.01660967603792,-120.46417230404104,-0.981353349956921,-1.3157702854454452,0.21861928231079403
9053940.5,81.01663137623433,-120.46420530297657,-1.0659794582350557,-1.4292345321921918,0.2326608093986836
9053943.0,81.01665307267308,-120.46423828632817,-1.243694285619139,-1.66750945036036,0.24162794084057815
9053945.5,81.01667476911184,-120.46427126967976,-1.4214091130032223,-1.9057843685285283,0.2505950722824727
9053948.0,81.01669646265799,-120.4643042344074,-1.5543253768950689,-2.083994664024024,0.23679712183451881
9053950.5,81.01671815620415,-120.46433719913504,-1.6872416407869157,-2.2622049595195195,0.2229991713865649
9053953.0,81.01673986389457,-120.46436998083615,-1.571191697431463,-2.1066085404504507,0.22513868632361
9053955.5,81.016761571585,-120.46440276253726,-1.4551417540760105,-1.9510121213813818,0.22727820126065507
9053958.0,81.01678632671927,-120.46444107137631,-1.388896467156523,-1.8621923501101105,0.21470458349476296
9053960.5,81.01681108185355,-120.46447938021538,-1.3226511802370353,-1.7733725788388393,0.20213096572887085
9053963.0,81.01682967905656,-120.46450727439354,-1.2863878792009638,-1.7247517900500502,0.21597142653031046
9053965.5,81.01684827625957,-120.4645351685717,-1.2501245781648922,-1.6761310012612611,0.2298118873317501
9053968.0,81.01686988579945,-120.46456839232093,-1.0844648158573706,-1.454019166876877,0.23541290258347072
9053970.5,81.01689149533934,-120.46460161607015,-0.918805053549849,-1.2319073324924927,0.24101391783519138
9053973.0,81.01691319745169,-120.46463398987818,-0.9166793297056066,-1.2290572232332337,0.24270843422693883
9053975.5,81.01693489956402,-120.4646663636862,-0.9145536058613641,-1.2262071139739747,0.24440295061868636
9053978.0,81.01695659882587,-120.4646986871173,-0.6918545372902292,-0.9276186218318325,0.2500277873881711
9053980.5,81.01697829808772,-120.4647310105484,-0.46915546871909414,-0.6290301296896903,0.2556526241576558
9053983.0,81.01699689817454,-120.46475867918608,-0.4877850409637231,-0.6540081231831838,0.2494488059514101
9053985.5,81.01701549826137,-120.46478634782376,-0.5064146132083521,-0.6789861166766773,0.24324498774516445
9053988.0,81.01704332868104,-120.46482835623488,-0.5153971893865898,-0.6910296959059061,0.24565389064832
9053990.5,81.01707115910071,-120.464870364646,-0.5243797655648276,-0.703073275135135,0.24806279355147554
9053993.0,81.01709587603185,-120.46490780599157,-0.4911112289334461,-0.65846778014014,0.24902936733563125
9053995.5,81.01712059296297,-120.46494524733713,-0.45784269230206465,-0.613862285145145,0.24999594111978696
9053998.0,81.01714226178709,-120.46497757848958,-0.4368086946482922,-0.5856605073673671,0.23772349236017054
9054000.5,81.0171639306112,-120.46500990964203,-0.4157746969945198,-0.5574587295895892,0.2254510436005541
9054003.0,81.01718563118978,-120.46504192373587,-0.44557286033736415,-0.597411248108108,0.21795140590282916
