lat_ph,delta_time,dist_ph_across,dist_ph_along,h_ph,lon_ph,ph_id_channel,ph_id_count,ph_id_pulse,quality,weight_ph,x_atc,y_atc
82.18795153576662,110822930.10847904,-3217.8796,14.454817,-189.7115,-16.62560226906977,80,3,177,0,9,9189003.0,-3217.8796
82.18794921456073,110822930.10857904,-3216.4958,14.559414,23.0592,-16.625692057612167,20,7,178,0,124,9189004.0,-3216.4958
82.18794897063768,110822930.10857904,-3216.4558,14.541979,29.203272,-16.62569429784662,17,3,178,0,215,9189004.0,-3216.4558
82.18794897426541,110822930.10857904,-3216.4565,14.542365,29.111525,-16.625694264364746,78,4,178,0,216,9189004.0,-3216.4565
82.1879496948281,110822930.10857904,-3216.5742,14.593897,10.987665,-16.625687658129646,79,1,178,0,94,9189004.0,-3216.5742
82.1879522228519,110822930.10857904,-3216.9875,14.774868,-52.59816,-16.625664480415768,78,6,178,0,65,9189004.0,-3216.9875
82.18795183987905,110822930.10857904,-3216.925,14.747354,-42.962547,-16.62566799296719,18,7,178,0,58,9189004.0,-3216.925
82.18795311485435,110822930.10857904,-3217.1335,14.838435,-75.03236,-16.625656302917065,17,4,178,0,0,9189004.0,-3217.1335
82.18795247469744,110822930.10857904,-3217.0288,14.792698,-58.917534,-16.625662178098064,77,5,178,0,67,9189004.0,-3217.0288
82.18795489274119,110822930.10857904,-3217.4243,14.965966,-119.74556,-16.625640004375754,18,8,178,0,38,9189004.0,-3217.4243
82.18795558221044,110822930.10857904,-3217.5369,15.015203,-137.08226,-16.625633685101956,78,9,178,0,25,9189004.0,-3217.5369
82.18795690201006,110822930.10857904,-3217.7527,15.109808,-170.25981,-16.625621592368944,77,6,178,0,24,9189004.0,-3217.7527
82.18794949266207,110822930.10867904,-3215.5369,14.850238,170.45383,-16.625758010989145,77,1,179,0,127,9189004.0,-3215.5369
82.18795010000761,110822930.10867904,-3215.6362,14.893631,155.19263,-16.62575244969845,79,1,179,0,35,9189004.0,-3215.6362
82.18795050423735,110822930.10867904,-3215.7024,14.922688,145.01883,-16.625748740970124,17,2,179,0,56,9189004.0,-3215.7024
82.1879510246019,110822930.10867904,-3215.7874,14.959886,131.93272,-16.625743971423333,80,1,179,0,44,9189004.0,-3215.7874
82.18795099443645,110822930.10867904,-3215.7825,14.957562,132.69565,-16.625744249833055,77,3,179,0,53,9189004.0,-3215.7825
82.18795351049636,110822930.10867904,-3216.1938,15.137761,69.41007,-16.62572118258579,78,4,179,0,71,9189004.0,-3216.1938
82.18795357940577,110822930.10867904,-3216.205,15.142799,67.66729,-16.625720546591328,17,4,179,0,94,9189004.0,-3216.205
82.18795461612306,110822930.10867904,-3216.3748,15.216831,41.597225,-16.625711044510712,19,2,179,0,70,9189004.0,-3216.3748
82.18795511637563,110822930.10867904,-3216.4565,15.252879,29.02019,-16.62570646057778,77,5,179,0,217,9189004.0,-3216.4565
82.18795523858874,110822930.10867904,-3216.4763,15.261409,25.954243,-16.62570534365851,78,5,179,1,72,9189004.0,-3216.4763
82.18795515986471,110822930.10867904,-3216.4636,15.25598,27.920322,-16.625706059198183,18,6,179,0,179,9189004.0,-3216.4636
82.18795512602772,110822930.10867904,-3216.458,15.25327,28.776081,-16.625706371494257,79,3,179,0,244,9189004.0,-3216.458
82.18795547916815,110822930.10867904,-3216.5159,15.2788515,19.894741,-16.625703134283984,80,3,179,2,78,9189004.0,-3216.5159
82.18795511520848,110822930.10867904,-3216.4563,15.252494,29.049706,-16.62570647134961,20,4,179,0,217,9189004.0,-3216.4563
82.18795637892609,110822930.10867904,-3216.6628,15.3432045,-2.73608,-16.625694885216365,18,7,179,2,43,9189004.0,-3216.6628
82.18795657737543,110822930.10867904,-3216.6953,15.357164,-7.7300425,-16.625693064678007,20,5,179,2,20,9189004.0,-3216.6953
82.1879571684731,110822930.10867904,-3216.792,15.3994255,-22.579481,-16.625687653331465,19,4,179,2,48,9189004.0,-3216.792
82.18795782226793,110822930.10867904,-3216.899,15.446341,-39.03938,-16.625681652283088,79,5,179,2,82,9189004.0,-3216.899
82.18796041699055,110822930.10867904,-3217.323,15.632093,-104.28609,-16.62565786999828,19,6,179,2,68,9189005.0,-3217.323
82.18796317979208,110822930.10867904,-3217.775,15.829926,-173.78207,-16.625632536408887,17,6,179,2,49,9189005.0,-3217.775
82.18796343533383,110822930.10867904,-3217.8167,15.848158,-180.19469,-16.625630199973504,79,7,179,2,109,9189005.0,-3217.8167
82.18795413915889,110822930.10877904,-3215.2922,15.453573,208.01476,-16.62578393264644,19,1,180,0,99,9189004.0,-3215.2922
82.1879534589075,110822930.10877904,-3215.181,15.4051285,225.12013,-16.62579016680972,79,2,180,0,39,9189004.0,-3215.181
82.18795495057259,110822930.10877904,-3215.425,15.511709,187.59213,-16.625776487930576,20,1,180,0,28,9189005.0,-3215.425
82.18795926491282,110822930.10877904,-3216.1304,15.8206835,79.09875,-16.62573694503718,18,1,180,0,100,9189005.0,-3216.1304
82.18796125632421,110822930.10877904,-3216.4558,15.963007,29.008194,-16.625718686866673,79,3,180,0,253,9189005.0,-3216.4558
82.18796330992431,110822930.10877904,-3216.7917,16.110012,-22.62946,-16.625699865752875,78,2,180,0,61,9189005.0,-3216.7917
82.18796460329271,110822930.10877904,-3217.0032,16.20273,-55.164597,-16.625688005950465,18,3,180,0,73,9189005.0,-3217.0032
82.18796505923773,110822930.10877904,-3217.078,16.235323,-66.64562,-16.62568381990632,19,4,180,0,76,9189005.0,-3217.078
82.1879682822968,110822930.10877904,-3217.6047,16.465826,-147.68237,-16.625654282561744,79,6,180,0,51,9189005.0,-3217.6047
82.18796773737705,110822930.10877904,-3217.5156,16.427015,-134.00131,-16.62565926772113,80,2,180,0,70,9189005.0,-3217.5156
82.18796945686393,110822930.10877904,-3217.7969,16.55005,-177.2368,-16.62564350816826,78,4,180,0,34,9189006.0,-3217.7969
82.18796985953207,110822930.10877904,-3217.8628,16.578777,-187.37007,-16.62563981383341,77,1,180,0,12,9189006.0,-3217.8628
82.1879593399217,110822930.10887904,-3215.138,16.096748,231.63368,-16.625804771711866,18,2,181,0,123,9189005.0,-3215.138
82.18796065889076,110822930.10887904,-3215.3538,16.191357,198.44853,-16.625792675679524,17,1,181,0,54,9189005.0,-3215.3538
82.18796176588954,110822930.10887904,-3215.535,16.27047,170.5999,-16.62578252496273,77,2,181,0,133,9189005.0,-3215.535
82.18796274437427,110822930.10887904,-3215.6948,16.340664,146.00183,-16.625773560352528,17,3,181,0,55,9189005.0,-3215.6948
82.18796292869507,110822930.10887904,-3215.7249,16.353851,141.36499,-16.625771870217793,19,1,181,0,38,9189005.0,-3215.7249
82.18796358975379,110822930.10887904,-3215.833,16.40117,124.745476,-16.625765813183634,77,4,181,0,112,9189005.0,-3215.833
82.18796537142507,110822930.10887904,-3216.1243,16.528414,79.933876,-16.62574947977055,17,5,181,0,107,9189006.0,-3216.1243
82.18796739394764,110822930.10887904,-3216.455,16.673136,29.056513,-16.62573093446255,79,2,181,0,252,9189006.0,-3216.455
82.18796958927202,110822930.10887904,-3216.814,16.830309,-26.165356,-16.625710805313922,20,2,181,0,25,9189006.0,-3216.814
82.1879690941119,110822930.10887904,-3216.733,16.794989,-13.692429,-16.625715353289102,78,3,181,0,74,9189006.0,-3216.733
82.18797109997838,110822930.10887904,-3217.061,16.938602,-64.1471,-16.625696961679758,19,3,181,0,141,9189006.0,-3217.061
82.18797234413981,110822930.10887904,-3217.2644,17.027502,-95.437386,-16.625685556024028,80,3,181,0,25,9189006.0,-3217.2644
82.18797287129856,110822930.10887904,-3217.3506,17.065165,-108.69433,-16.62568072375253,79,4,181,0,65,9189006.0,-3217.3506
