Meltpond_ID,xs_drift,ys_drift
1,0.001125312499891,-0.000128108036574
3,0.0010825634623049,-1.0887988670510612e-05
4,-2.2970884072778457e-05,-3.345772455851714e-05
5,0.0011956552706272,0.0001127423726027
7,0.0003284491611006,0.0025967573904433
8,4.129649634336962e-05,0.0011482239744965
9,0.0011473513560759,0.000853231689096
10,0.0022726253083092,-0.0013632154827807
11,-4.589105001272796e-05,-8.015419205964235e-05
12,7.807216516169679e-05,-4.098178271667306e-05
13,2.2692440355381746e-05,-8.152856944845018e-05
14,0.0002039325540186,-4.734531457500509e-06
15,-3.4922417740973136e-05,0.0009743844552227
16,0.0001410920045072,-2.5784454524039905e-05
17,6.630641377924687e-06,-2.18028432118222e-05
19,-6.431765714411769e-05,9.82832241027202e-05
20,3.8740126427891775e-05,-2.355591102205225e-05
21,9.344182411757146e-05,-0.000399101584154
22,6.651245049298909e-05,0.0009701956052739
23,0.0021436480506253,-0.0003683882945026
25,0.0012196940831863,0.0022149277013892
26,0.0002086244437889,3.124382562251098e-05
