x_atc,lat_ph,lon_ph,depth
9157325.5,81.89888015533715,-16.49993385236691,-0.5011327112264211
9157330.5,81.89890478477385,-16.49998022816705,-0.48617823582709974
9157335.5,81.89896638724885,-16.50009716135536,-0.5616890539578242
9157340.5,81.89899103195376,-16.500143044022078,-0.7684380294505864
9157345.5,81.8990465045046,-16.50024847627416,-0.690689506017604
9157350.5,81.89907733083243,-16.500306880546674,-0.709251809149456
9157355.5,81.8991203612607,-16.500386963199368,-0.7877657972618338
9157360.5,81.89916361655993,-16.500472020401077,-0.7669127614362052
9157365.5,81.89921304574058,-16.50056505716708,-0.7932682356809025
9157370.5,81.89925012934465,-16.500636016040982,-1.0334767884540048
9157375.5,81.89929340909654,-16.500720541504332,-1.1335439403968761
9157380.5,81.89933668211137,-16.500802763272254,-1.142100056658401
9157385.5,81.89938615052391,-16.50089818362559,-1.2807116275525319
9157390.5,81.89942944320933,-16.500982341647553,-1.0548861488583976
9157395.5,81.89946654681606,-16.501053429139308,-0.9569397372641135
9157400.5,81.89950983747957,-16.501136941651996,-0.9114339357670894
9157405.5,81.89955312720443,-16.501220624569417,-0.8809903526643121
9157410.5,81.8996026006134,-16.50131644249525,-0.8473593486661335
9157415.5,81.89963971000506,-16.501389706759046,-0.8014919365157642
9157420.5,81.89968298452852,-16.501471734769627,-0.7678322070128945
9157425.5,81.89973244038548,-16.50156752880766,-0.6675140246921766
9157430.5,81.89977570882802,-16.50165126914154,-0.5571342375455262
9157435.5,81.89982514714688,-16.50174666895874,-0.4183499951765231
