x_atc,lat_ph,lon_ph,depth
9197975.5,82.26568134708349,-16.77566164723997,-0.46835819480562046
9197980.5,82.26572418800518,-16.775746897996417,-0.8409989549573359
9197985.5,82.26576704145619,-16.7758333773498,-1.047805220981698
9197990.5,82.2658098908511,-16.775919843413025,-1.0798964639422135
9197995.5,82.26585272779548,-16.776005860146512,-1.0971202023677047
9198000.5,82.26589576526624,-16.77609040075297,-1.021922094089976
9198005.5,82.26593850026211,-16.776176760506107,-0.963391812506957
9198010.5,82.26598730913167,-16.77627331699741,-0.891720590867274
9198015.5,82.26603005323967,-16.776360660142448,-0.8650013514884903
9198020.5,82.26607275765711,-16.776445256021614,-0.9857922409530618
9198025.5,82.26611548997461,-16.776531678636285,-1.0582591566255632
9198030.5,82.26615819958576,-16.77661630198983,-1.1223454889719704
9198035.5,82.26620092104955,-16.776701487522026,-1.1659288098571248
9198040.5,82.26624365938183,-16.77678759505381,-1.1104307557238113
9198045.5,82.2662863839192,-16.7768724270928,-0.9782094946774307
9198050.5,82.26632911167599,-16.776956772454145,-0.651738334469148
9198055.5,82.26637187527126,-16.777043185660787,-0.3937303281333706
9198060.5,82.26641463744734,-16.777128936628177,-0.34508987373269634
