x_atc,lat_ph,lon_ph,depth
8928785.5,79.91636241613381,-107.73814638208128,-0.24278620595405206
8928790.5,79.91641215180988,-107.73820734256807,-0.295460821260593
8928795.5,79.91645567434078,-107.73826072382128,-0.30961068418082405
8928800.5,79.91651164810258,-107.7383294292562,-0.4083040368088798
8928805.5,79.91655522901137,-107.73838302411534,-0.5003525534726025
8928810.5,79.91658628419117,-107.73842110764411,-0.5476700874296245
8928815.5,79.91662982307544,-107.73847462110533,-0.5548147152014392
8928820.5,79.9166733764097,-107.73852819036364,-0.5412593356370431
8928825.5,79.91672315827734,-107.73858945296314,-0.47986403355477636
8928830.5,79.91676670040471,-107.73864302817842,-0.43875812398107517
8928835.5,79.91680398031463,-107.7386888093584,-0.38628626727106075
8928840.5,79.91684758232088,-107.73874259954462,-0.38932489888561383
8928845.5,79.91689116136011,-107.73879633369708,-0.41513090328565516
8928850.5,79.916934797254,-107.7388502393485,-0.3388107673928399
8928855.5,79.91698467184223,-107.73891187593212,-0.3044518669931384
8928860.5,79.91702205095812,-107.738958032421,-0.2551274910870951
8928865.5,79.9170718731143,-107.73901954069164,-0.244404226676236
8928870.5,79.91711550005584,-107.7390734543466,-0.1942170914355282
8928875.5,79.91715912885138,-107.73912737738696,-0.17251205912575324
8928880.5,79.91719652216793,-107.73917359263446,-0.1814145737037146
