x_atc,lat_ph,lon_ph,depth
8895059.5,79.61485469507245,-107.545115263432,-0.2224332005213526
8895064.5,79.61489838238295,-107.54516686560116,-0.2461887938274399
8895069.5,79.61491710603232,-107.54518907039169,-0.4298394052072981
8895074.5,79.6149858640916,-107.54527052467112,-0.43563532915068576
8895079.5,79.61502322814722,-107.54531408405046,-0.43223324759913706
8895084.5,79.61507303818031,-107.54537213472184,-0.4401694461160935
8895089.5,79.61511038767554,-107.54541559398194,-0.43880417444717756
8895094.5,79.61515395393441,-107.54546629543216,-0.44377491379391254
8895099.5,79.61520373196588,-107.54552409494929,-0.44004963191112845
8895104.5,79.61524105796401,-107.5455673200875,-0.44631874247262043
8895109.5,79.61525350316431,-107.54558187563654,-0.5611211453649279
8895114.5,79.61534057591052,-107.5456827488897,-0.3782364927673653
8895119.5,79.6153965301155,-107.54574722082089,-0.24775099000754716
8895124.5,79.61540896649028,-107.54576172240591,-0.2486525655199915
