Meltpond_ID,xs_drift,ys_drift
1,9.086685348052776e-06,0.0009234387667360102
2,0.00013699362991659894,0.0009679589412245353
3,0.0001717605033399232,-0.00013598804858740501
4,0.00010519450311085632,-0.00010071098301617869
5,0.00014281594012134584,0.0023279712767752085
6,4.3889323677718044e-05,0.00010675729000138843
7,3.010876983932366e-05,0.002250271149076079
8,0.00011187022136466554,0.00014779222331232973
9,-1.9728502019490118e-05,-0.00019286960423232083
10,0.001281440191052248,-5.7553450233273504e-05
11,0.00010145714219027049,0.0009595416401068662
12,3.897439611457299e-06,4.392854922560377e-06
13,-6.644532422853874e-05,0.0010752681605783838
14,0.00011937678773141068,0.00014925709481333207
15,0.0011912126893243915,-4.530861406075481e-05
16,8.671166233357669e-05,4.011840592373274e-05
17,-5.02547624236075e-05,-0.00012360714622829333
18,2.8625799483041555e-05,-3.546646462453364e-05
19,1.1309363594277031e-05,1.5585568169566575e-05
20,4.6070553939511093e-05,6.880644988975105e-05
21,2.040118942424133e-05,0.0011508375088759481
22,9.461953663927974e-05,-8.028018650287552e-05
23,0.00026492458691150164,-4.353615094187376e-05
24,-0.00012526939503733437,0.00038011782478070697
25,0.0001096211688142953,-0.00011696328131821952
26,0.001268207274446125,-4.240078165867881e-05
27,8.389365504057775e-05,0.0021850670079440076
28,-6.0551896028362784e-05,0.0013577978568054348
29,7.950591782075949e-05,3.4662754021814388e-06
