lat_ph,delta_time,dist_ph_across,dist_ph_along,h_ph,lon_ph,ph_id_channel,ph_id_count,ph_id_pulse,quality,weight_ph,x_atc,y_atc
81.87881404575502,110144040.26145738,-3297.6687,2.780343,1162.2538,-61.69937591341621,75,1,70,0,35,9153221.0,-3297.6687
81.87881389605937,110144040.26145738,-3297.8362,2.7195485,1138.236,-61.6993646790516,13,1,70,0,53,9153221.0,-3297.8362
81.87881393170402,110144040.26145738,-3297.7969,2.734062,1143.8896,-61.69936732430908,73,2,70,0,48,9153221.0,-3297.7969
81.87881348568024,110144040.26145738,-3298.2925,2.554,1072.7668,-61.69933405122715,6,1,70,0,46,9153221.0,-3298.2925
81.87881327460298,110144040.26145738,-3298.528,2.4684615,1038.9718,-61.699318242395904,74,1,70,0,7,9153220.0,-3298.528
81.87881313965205,110144040.26145738,-3298.6787,2.4139147,1017.38293,-61.69930814311464,15,2,70,0,14,9153220.0,-3298.6787
81.87881284790006,110144040.26145738,-3299.0032,2.2961705,970.8337,-61.69928636570422,14,2,70,0,11,9153220.0,-3299.0032
81.87881248443216,110144040.26145738,-3299.408,2.148957,912.7606,-61.69925919759771,5,1,70,0,29,9153220.0,-3299.408
81.8788124506885,110144040.26145738,-3299.4465,2.1352158,907.2485,-61.69925662023106,75,3,70,0,28,9153220.0,-3299.4465
81.87881237577112,110144040.26145738,-3299.529,2.1049826,895.38226,-61.6992510676424,61,1,70,0,14,9153220.0,-3299.529
81.87881233734464,110144040.26145738,-3299.5725,2.0892766,889.1475,-61.69924815190007,71,1,70,0,27,9153220.0,-3299.5725
81.87881225998606,110144040.26145738,-3299.658,2.058256,876.90466,-61.69924242292039,2,1,70,0,19,9153220.0,-3299.658
81.87881207280265,110144040.26145738,-3299.8667,1.9824648,846.9519,-61.69922841040504,15,4,70,0,12,9153220.0,-3299.8667
81.87882002138893,110144040.26155736,-3297.8606,3.4201372,1134.4464,-61.69937433203965,66,1,71,0,37,9153221.0,-3297.8606
81.87881932722168,110144040.26155736,-3298.634,3.1393876,1023.5037,-61.69932243261434,4,1,71,0,2,9153221.0,-3298.634
81.87881913865318,110144040.26155736,-3298.8433,3.0632958,993.48785,-61.6993083893708,10,1,71,0,45,9153221.0,-3298.8433
81.87881878108446,110144040.26155736,-3299.2417,2.9185379,936.32465,-61.69928164745056,11,1,71,0,30,9153221.0,-3299.2417
81.87881867886028,110144040.26155736,-3299.356,2.8773408,919.93945,-61.699273982607664,68,1,71,0,38,9153221.0,-3299.356
81.87881856131062,110144040.26155736,-3299.4866,2.829862,901.18933,-61.69926521034615,72,2,71,0,28,9153221.0,-3299.4866
81.87881842085825,110144040.26155736,-3299.643,2.7729607,878.75256,-61.69925471362323,1,1,71,0,15,9153221.0,-3299.643
81.87881789328864,110144040.26155736,-3300.2307,2.5594351,794.4436,-61.69921527058371,66,2,71,0,15,9153221.0,-3300.2307
81.87881793421181,110144040.26155736,-3300.1846,2.5763159,801.0635,-61.69921836672241,6,3,71,0,24,9153221.0,-3300.1846
81.87881766785267,110144040.26155736,-3300.4817,2.4683497,758.43646,-61.69919842450452,62,1,71,0,14,9153220.0,-3300.4817
81.87881762344011,110144040.26155736,-3300.5308,2.4506807,751.4306,-61.69919514575759,8,2,71,0,30,9153220.0,-3300.5308
81.87881759766506,110144040.26155736,-3300.5593,2.4400787,747.30084,-61.69919321374654,12,3,71,0,3,9153220.0,-3300.5593
81.8788169741037,110144040.26155736,-3301.2546,2.18794,647.5744,-61.699146556742456,2,2,71,0,21,9153220.0,-3301.2546
81.87881671492566,110144040.26155736,-3301.543,2.0830464,606.2103,-61.699127203167855,69,1,71,0,14,9153220.0,-3301.543
81.87881666804707,110144040.26155736,-3301.5957,2.0641875,598.67206,-61.69912367674074,5,1,71,0,17,9153220.0,-3301.5957
81.87881645687696,110144040.26155736,-3301.8303,1.9789212,565.02124,-61.699107931260414,9,2,71,0,25,9153220.0,-3301.8303
81.87881567329265,110144040.26155736,-3302.703,1.6621116,439.8491,-61.699049364373664,6,4,71,0,20,9153220.0,-3302.703
81.87881558552345,110144040.26155736,-3302.8005,1.6263318,425.84973,-61.69904281381347,66,6,71,0,39,9153220.0,-3302.8005
81.87881551972237,110144040.26155736,-3302.8745,1.5995942,415.23996,-61.6990378506117,71,2,71,0,9,9153220.0,-3302.8745
81.87881538067845,110144040.26155736,-3303.0295,1.5433629,393.02472,-61.69902745603682,62,3,71,0,29,9153220.0,-3303.0295
81.87881528906392,110144040.26155736,-3303.131,1.5063965,378.43228,-61.69902062764557,3,1,71,0,23,9153220.0,-3303.131
81.87881505704587,110144040.26155736,-3303.3892,1.4127911,341.41534,-61.69900330648158,68,3,71,0,53,9153219.0,-3303.3892
81.87881504234218,110144040.26155736,-3303.4062,1.4064976,338.9944,-61.69900217450597,6,8,71,0,45,9153219.0,-3303.4062
81.87881481632272,110144040.26155736,-3303.6577,1.3152369,302.90353,-61.69898528683547,66,9,71,0,0,9153219.0,-3303.6577
81.87881483682635,110144040.26155736,-3303.6348,1.323498,306.2193,-61.69898683788834,64,2,71,0,12,9153219.0,-3303.6348
81.87881456042564,110144040.26155736,-3303.9426,1.2117649,262.05115,-61.698966170824576,65,2,71,0,20,9153219.0,-3303.9426
81.87881463583588,110144040.26155736,-3303.8584,1.2424543,274.14285,-61.69897182829411,11,3,71,0,27,9153219.0,-3303.8584
81.8788144595843,110144040.26155736,-3304.0554,1.1708434,245.88359,-61.69895860627327,71,4,71,0,24,9153219.0,-3304.0554
81.87881430016303,110144040.26155736,-3304.2322,1.106701,220.52591,-61.69894673943662,74,2,71,0,35,9153219.0,-3304.2322
81.87881429789856,110144040.26155736,-3304.2346,1.1059141,220.17656,-61.6989465758186,4,3,71,0,31,9153219.0,-3304.2346
81.87881420418495,110144040.26155736,-3304.3396,1.0677402,205.1089,-61.6989395263071,69,3,71,0,46,9153219.0,-3304.3396
81.87881395492667,110144040.26155736,-3304.6174,0.966981,165.2823,-61.6989208901293,72,4,71,0,21,9153219.0,-3304.6174
81.87881374965438,110144040.26155736,-3304.8457,0.8839205,132.547,-61.69890557130217,14,3,71,0,9,9153219.0,-3304.8457
81.8788137890943,110144040.26155736,-3304.8022,0.8996674,138.78401,-61.69890849059279,11,5,71,0,32,9153219.0,-3304.8022
81.87881353538727,110144040.26155736,-3305.0847,0.7973051,98.27211,-61.698889533065135,2,4,71,0,13,9153219.0,-3305.0847
81.87881335122815,110144040.26155736,-3305.289,0.7228844,68.94714,-61.69887580937955,61,2,71,0,19,9153219.0,-3305.289
81.87881329623391,110144040.26155736,-3305.3503,0.7008322,60.158367,-61.69887169669199,6,10,71,0,15,9153219.0,-3305.3503
81.87881312877943,110144040.26155736,-3305.5369,0.633095,33.41089,-61.69885918004596,8,5,71,0,10,9153219.0,-3305.5369
81.87881300923827,110144040.26155736,-3305.6697,0.5846503,14.359905,-61.69885026446299,16,1,71,0,221,9153219.0,-3305.6697
81.87881301264241,110144040.26155736,-3305.666,0.58622587,14.885069,-61.698850510432095,74,4,71,0,209,9153219.0,-3305.666
81.87881301218077,110144040.26155736,-3305.6665,0.58583194,14.813844,-61.69885047707282,64,4,71,0,210,9153219.0,-3305.6665
81.87881299900761,110144040.26155736,-3305.682,0.5803176,12.629312,-61.69884945571925,75,1,71,0,198,9153219.0,-3305.682
81.87881301323557,110144040.26155736,-3305.6655,0.58622575,14.976571,-61.69885055328887,15,2,71,0,207,9153219.0,-3305.6655
81.87881301080523,110144040.26155736,-3305.668,0.58543813,14.601646,-61.698850377686405,62,5,71,0,211,9153219.0,-3305.668
81.87881301387107,110144040.26155736,-3305.6648,0.58661973,15.074617,-61.69885059921025,7,1,71,0,204,9153219.0,-3305.6648
81.8788130144184,110144040.26155736,-3305.6643,0.5866196,15.159053,-61.69885063875693,68,6,71,0,202,9153219.0,-3305.6643
81.87881297316888,110144040.26155736,-3305.7107,0.5700769,8.490852,-61.69884751920976,66,11,71,0,64,9153219.0,-3305.7107
81.87881278562503,110144040.26155736,-3305.92,0.49405232,-21.507565,-61.69883348152396,15,3,71,0,9,9153218.0,-3305.92
81.878812739875,110144040.26155736,-3305.9702,0.47593114,-28.717628,-61.69883010633839,1,3,71,0,50,9153218.0,-3305.9702
81.8788126009515,110144040.26155736,-3306.125,0.41959414,-50.910515,-61.69881972080069,4,5,71,0,34,9153218.0,-3306.125
81.8788125064858,110144040.26155736,-3306.2297,0.3813765,-65.94029,-61.6988126866218,76,2,71,0,23,9153218.0,-3306.2297
81.8788123867791,110144040.26155736,-3306.3638,0.33291164,-85.168396,-61.69880368961503,16,3,71,0,51,9153218.0,-3306.3638
81.87881215813466,110144040.26155736,-3306.6182,0.24030504,-121.65832,-61.69878661279784,61,4,71,0,0,9153218.0,-3306.6182
