x_atc,lat_ph,lon_ph,depth,depth_no_refraction,sd
11028474.0,80.91806610870071,-116.87667012049965,-0.9093182165997288,-1.2191876549549554,0.240470543213888
11028476.5,80.91804432914988,-116.87670300907124,-0.9269613004124936,-1.242842993193194,0.22623075602206982
11028479.0,80.91802256675311,-116.87673565136049,-0.9967940960830199,-1.3364727927927933,0.2330196074761721
11028481.5,80.91800080435634,-116.87676829364976,-1.0666268917535464,-1.4301025923923927,0.23980845893027433
11028484.0,80.91797903292084,-116.87680107307918,-1.0827578380247385,-1.4517305002002003,0.2505890003389456
11028486.5,80.91795726148536,-116.8768338525086,-1.0988887842959305,-1.473358408008008,0.26136954174761673
11028489.0,80.91793548839145,-116.87686666377493,-1.0681583156648324,-1.4321558814314315,0.22731904606996628
11028491.5,80.91791371529754,-116.87689947504128,-1.0374278470337341,-1.390953354854855,0.19326855039231586
11028494.0,80.91789195739474,-116.87693206385075,-1.255467838749622,-1.6832950910410411,0.21248513767077584
11028496.5,80.91787019949196,-116.87696465266022,-1.4735078304655098,-1.9756368272272273,0.2317017249492359
11028499.0,80.91784216189424,-116.8770075597402,-1.470350941698733,-1.971404161761762,0.21336527086340992
11028501.5,80.91781412429654,-116.87705046682018,-1.467194052931956,-1.9671714962962965,0.19502881677758396
11028504.0,80.91780169517878,-116.87706905477688,-1.320451662107089,-1.7704235283283285,0.2468384178533464
11028506.5,80.91778926606102,-116.8770876427336,-1.1737092712822221,-1.5736755603603605,0.2986480189291087
11028509.0,80.91776438791965,-116.8771251190458,-1.0374112958938508,-1.3909311635635637,0.25039372176500846
11028511.5,80.91773950977829,-116.877162595358,-0.9011133205054798,-1.208186766766767,0.20213942460090828
11028514.0,80.91771770535931,-116.8771959689102,-0.8267488834920996,-1.1084810730730732,0.22881637980130506
11028516.5,80.91769590094032,-116.8772293424624,-0.7523844464787195,-1.0087753793793794,0.2554933350017018
11028519.0,80.91767418201698,-116.87726139398072,-0.7325539299418182,-0.9821871943943945,0.271632442414564
11028521.5,80.91765246309363,-116.87729344549903,-0.7127234134049169,-0.9555990094094096,0.2877715498274262
11028524.0,80.91762136160624,-116.87734045591895,-0.6317488042125698,-0.8470305873873878,0.26620075554827033
11028526.5,80.91759026011884,-116.87738746633886,-0.5507741950202227,-0.738462165365366,0.24462996126911446
11028529.0,80.91758093482943,-116.87740149395543,-0.5078080758569363,-0.6808544312312317,0.21685970308664534
11028531.5,80.91757160954002,-116.877415521572,-0.46484195669364986,-0.6232466970970973,0.18908944490417628
11028534.0,80.91754362134563,-116.87745781785515,-0.4292028797283214,-0.5754628499499501,0.18971041547574397
11028536.5,80.91751563315124,-116.8775001141383,-0.39356380276299296,-0.5276790028028029,0.19033138604731167
