Meltpond_ID,xs_drift,ys_drift
1,0.0011253124998910579,-0.00012810803657409639
2,-8.648104206359642e-05,0.0021543075875846153
3,0.0010825634623049516,-1.0887988670510612e-05
4,-2.2970884072778457e-05,-3.345772455851714e-05
5,0.001195655270627281,0.00011274237260272138
6,0.0012072880782491627,0.0010917840680003512
7,0.00032844916110061405,0.0025967573904433806
8,4.129649634336962e-05,0.0011482239744965836
9,0.0011473513560759784,0.0008532316890960008
10,0.0022726253083092548,-0.0013632154827807011
11,-4.589105001272796e-05,-8.015419205964235e-05
12,7.807216516169679e-05,-4.098178271667306e-05
13,2.2692440355381742e-05,-8.152856944845018e-05
14,0.00020393255401869926,-4.734531457500509e-06
15,-3.4922417740973136e-05,0.0009743844552227781
16,0.00014109200450722423,-2.5784454524039905e-05
17,6.6306413779246865e-06,-2.18028432118222e-05
18,0.0012897348268995548,0.0033104417639336563
19,-6.431765714411769e-05,9.82832241027202e-05
20,3.8740126427891775e-05,-2.355591102205225e-05
21,9.344182411757146e-05,-0.0003991015841540348
22,6.651245049298909e-05,0.0009701956052739859
23,0.002143648050625328,-0.00036838829450264545
24,0.00018116707199294354,0.00010960627647938133
25,0.001219694083186344,0.0022149277013892832
26,0.00020862444378899514,3.124382562251098e-05
