,Meltpond_index,Latitude,Longtitude,b08_NIR,b04_red,b03_green,b02_blue,Depth[m],Time_sentinel,Time_ICESat,b08_NIR_left_neighbor,b04_red_left_neighbor,b03_green_left_neighbor,b02_blue_left_neighbor,b08_NIR_right_neighbor,b04_red_right_neighbor,b03_green_right_neighbor,b02_blue_right_neighbor
21,1.0,81.90179679157775,-16.505265693848585,1124.0,1946.0,4308.0,5224.0,-1.426294150335273,2021-07-06 16:29:01,2021-07-06 16:08:15,1120.0,1910.0,4472.0,5300.0,1158.0,1858.0,4108.0,4808.0
22,1.0,81.90180374144988,-16.505899587924702,1158.0,1858.0,4108.0,4808.0,-1.3485218732490365,2021-07-06 16:29:01,2021-07-06 16:08:15,1124.0,1946.0,4308.0,5224.0,1142.0,1918.0,4272.0,4928.0
23,1.0,81.90189305015377,-16.505850261294622,1142.0,1918.0,4272.0,4928.0,-1.310412071939842,2021-07-06 16:29:01,2021-07-06 16:08:15,1158.0,1858.0,4108.0,4808.0,1090.0,1996.0,4416.0,5200.0
24,1.0,81.90198235885126,-16.505800933573,1090.0,1996.0,4416.0,5200.0,-1.3825962099022462,2021-07-06 16:29:01,2021-07-06 16:08:15,1142.0,1918.0,4272.0,4928.0,1082.0,2028.0,4388.0,5052.0
25,1.0,81.9020716675423,-16.505751604759812,1082.0,2028.0,4388.0,5052.0,-1.454805058253642,2021-07-06 16:29:01,2021-07-06 16:08:15,1090.0,1996.0,4416.0,5200.0,1105.0,2062.0,4284.0,4976.0
26,1.0,81.90207861666927,-16.50638552062896,1105.0,2062.0,4284.0,4976.0,-1.492536436403321,2021-07-06 16:29:01,2021-07-06 16:08:15,1082.0,2028.0,4388.0,5052.0,1113.0,2040.0,4372.0,5168.0
27,1.0,81.90216792543148,-16.506336197625018,1113.0,2040.0,4372.0,5168.0,-1.4870899616588866,2021-07-06 16:29:01,2021-07-06 16:08:15,1105.0,2062.0,4284.0,4976.0,1134.0,2020.0,4444.0,5200.0
28,1.0,81.90225723418729,-16.506286873529586,1134.0,2020.0,4444.0,5200.0,-1.474505335193496,2021-07-06 16:29:01,2021-07-06 16:08:15,1113.0,2040.0,4372.0,5168.0,1110.0,2098.0,4432.0,5104.0
29,1.0,81.90235349131842,-16.506871486006194,1110.0,2098.0,4432.0,5104.0,-1.3754115263649371,2021-07-06 16:29:01,2021-07-06 16:08:15,1134.0,2020.0,4444.0,5200.0,1134.0,2176.0,4472.0,5228.0
30,1.0,81.90244280013896,-16.506822166629,1134.0,2176.0,4472.0,5228.0,-1.2959974545545605,2021-07-06 16:29:01,2021-07-06 16:08:15,1110.0,2098.0,4432.0,5104.0,1128.0,2340.0,4628.0,5432.0
31,2.0,81.89910094334509,-16.4999862216389,3100.0,5284.0,6836.0,7200.0,-0.709251809149456,2021-07-06 16:29:01,2021-07-06 16:08:15,1121.0,2458.0,4836.0,5520.0,1834.0,4088.0,6360.0,6904.0
32,2.0,81.8991079013182,-16.500619901608854,1834.0,4088.0,6360.0,6904.0,-0.7877657972618338,2021-07-06 16:29:01,2021-07-06 16:08:15,3100.0,5284.0,6836.0,7200.0,1439.0,3282.0,5492.0,6064.0
33,2.0,81.89919720938678,-16.50057053380199,1439.0,3282.0,5492.0,6064.0,-0.780090498558554,2021-07-06 16:29:01,2021-07-06 16:08:15,1834.0,4088.0,6360.0,6904.0,1352.0,2794.0,4888.0,5516.0
34,2.0,81.89928651744896,-16.500521164903024,1352.0,2794.0,4888.0,5516.0,-1.0835103644254405,2021-07-06 16:29:01,2021-07-06 16:08:15,1439.0,3282.0,5492.0,6064.0,1346.0,2642.0,4696.0,5312.0
35,2.0,81.89937582550463,-16.500471794911956,1346.0,2642.0,4696.0,5312.0,-1.142100056658401,2021-07-06 16:29:01,2021-07-06 16:08:15,1352.0,2794.0,4888.0,5516.0,1291.0,2344.0,4532.0,5152.0
36,2.0,81.89938278273316,-16.50110549666108,1291.0,2344.0,4532.0,5152.0,-1.280711627552532,2021-07-06 16:29:01,2021-07-06 16:08:15,1346.0,2642.0,4696.0,5312.0,1280.0,2434.0,4648.0,5332.0
37,2.0,81.8994720908601,-16.501056132473888,1280.0,2434.0,4648.0,5332.0,-0.9744199406298668,2021-07-06 16:29:01,2021-07-06 16:08:15,1291.0,2344.0,4532.0,5152.0,1324.0,2578.0,4628.0,5340.0
38,2.0,81.8995613989806,-16.501006767194674,1324.0,2578.0,4628.0,5340.0,-0.8809903526643121,2021-07-06 16:29:01,2021-07-06 16:08:15,1280.0,2434.0,4648.0,5332.0,1289.0,2462.0,4664.0,5284.0
39,2.0,81.89956835538675,-16.501640483827977,1289.0,2462.0,4664.0,5284.0,-0.8473593486661335,2021-07-06 16:29:01,2021-07-06 16:08:15,1324.0,2578.0,4628.0,5340.0,1360.0,2896.0,5020.0,5652.0
40,3.0,81.9047918323413,-16.511464790922354,1780.0,3910.0,5940.0,6460.0,-0.7200218426013406,2021-07-06 16:29:01,2021-07-06 16:08:15,1796.0,3676.0,5776.0,6104.0,1360.0,3436.0,5560.0,5836.0
41,3.0,81.90488114171343,-16.51141550682308,1360.0,3436.0,5560.0,5836.0,-0.7449785161016372,2021-07-06 16:29:01,2021-07-06 16:08:15,1780.0,3910.0,5940.0,6460.0,1252.0,3142.0,5184.0,5672.0
42,3.0,81.90497045107918,-16.5113662216328,1252.0,3142.0,5184.0,5672.0,-0.614144914309552,2021-07-06 16:29:01,2021-07-06 16:08:15,1360.0,3436.0,5560.0,5836.0,1187.0,2974.0,5308.0,5864.0
43,3.0,81.90506670102803,-16.51195108846476,1187.0,2974.0,5308.0,5864.0,-0.5540349703768159,2021-07-06 16:29:01,2021-07-06 16:08:15,1252.0,3142.0,5184.0,5672.0,1131.0,2864.0,5060.0,5664.0
44,3.0,81.90515601045846,-16.511901807998544,1131.0,2864.0,5060.0,5664.0,-0.6216907381118757,2021-07-06 16:29:01,2021-07-06 16:08:15,1187.0,2974.0,5308.0,5864.0,1091.0,2778.0,4992.0,5520.0
45,3.0,81.90524531988243,-16.511852526441377,1091.0,2778.0,4992.0,5520.0,-0.7730835666235573,2021-07-06 16:29:01,2021-07-06 16:08:15,1131.0,2864.0,5060.0,5664.0,1090.0,2854.0,5244.0,5788.0
46,3.0,81.90525225964865,-16.512486694458033,1090.0,2854.0,5244.0,5788.0,-0.7160497633418855,2021-07-06 16:29:01,2021-07-06 16:08:15,1091.0,2778.0,4992.0,5520.0,1084.0,2798.0,5204.0,5928.0
47,3.0,81.90534156914377,-16.51243741871637,1084.0,2798.0,5204.0,5928.0,-0.7481305914436485,2021-07-06 16:29:01,2021-07-06 16:08:15,1090.0,2854.0,5244.0,5788.0,1084.0,2682.0,4928.0,5388.0
48,3.0,81.9054308786325,-16.512388141883825,1084.0,2682.0,4928.0,5388.0,-0.7156809462739554,2021-07-06 16:29:01,2021-07-06 16:08:15,1084.0,2798.0,5204.0,5928.0,1077.0,2688.0,5132.0,5752.0
49,3.0,81.90552018811479,-16.512338863960377,1077.0,2688.0,5132.0,5752.0,-0.817117783266981,2021-07-06 16:29:01,2021-07-06 16:08:15,1084.0,2682.0,4928.0,5388.0,1091.0,2840.0,5440.0,6280.0
50,3.0,81.90552712713519,-16.512973053787828,1091.0,2840.0,5440.0,6280.0,-0.8002123204822296,2021-07-06 16:29:01,2021-07-06 16:08:15,1077.0,2688.0,5132.0,5752.0,1093.0,2854.0,5532.0,6280.0
51,3.0,81.9056164366886,-16.512923781680417,1093.0,2854.0,5532.0,6280.0,-0.8339783388443084,2021-07-06 16:29:01,2021-07-06 16:08:15,1091.0,2840.0,5440.0,6280.0,1064.0,2940.0,5404.0,6040.0
52,3.0,81.90570574623558,-16.512874508482177,1064.0,2940.0,5404.0,6040.0,-0.9930270899307556,2021-07-06 16:29:01,2021-07-06 16:08:15,1093.0,2854.0,5532.0,6280.0,1054.0,2820.0,5204.0,5756.0
53,3.0,81.90580199405066,-16.51345944583278,1054.0,2820.0,5204.0,5756.0,-1.004432162074555,2021-07-06 16:29:01,2021-07-06 16:08:15,1064.0,2940.0,5404.0,6040.0,1048.0,2696.0,5092.0,5640.0
54,3.0,81.90589130366236,-16.513410177360235,1048.0,2696.0,5092.0,5640.0,-1.0292229282119092,2021-07-06 16:29:01,2021-07-06 16:08:15,1054.0,2820.0,5204.0,5756.0,1054.0,2898.0,5428.0,6040.0
55,3.0,81.90598061326762,-16.513360907796915,1054.0,2898.0,5428.0,6040.0,-0.9103758944181264,2021-07-06 16:29:01,2021-07-06 16:08:15,1048.0,2696.0,5092.0,5640.0,1067.0,2916.0,5564.0,6424.0
56,3.0,81.90607686039505,-16.513945870596125,1067.0,2916.0,5564.0,6424.0,-0.9293749941371384,2021-07-06 16:29:01,2021-07-06 16:08:15,1054.0,2898.0,5428.0,6040.0,1081.0,2966.0,5580.0,6392.0
57,3.0,81.90616617006502,-16.513896605759083,1081.0,2966.0,5580.0,6392.0,-0.9670600193480144,2021-07-06 16:29:01,2021-07-06 16:08:15,1067.0,2916.0,5564.0,6424.0,1073.0,2936.0,5460.0,6176.0
