Meltpond index,Latitude,Longtitude,b08 (NIR),b02 (red),b03 (green),b04 (blue),Depth [m],Sentinel Time,IceSat Time,Zenith,Apparent Zenith
0.0,82.28174400637488,-17.03957013267652,1436.0,2634.0,4784.0,5732.0,-0.5406107253089136,2021-07-06 16:29:01,2021-07-06 16:08:15,62.46223545107905,62.43022553930948
0.0,82.28183337494985,-17.039524485432246,1315.0,2134.0,4184.0,5032.0,-0.6748521472251281,2021-07-06 16:29:01,2021-07-06 16:08:15,62.462295546614996,62.43028555435349
0.0,82.2818395056342,-17.04018984306003,1219.0,2492.0,4860.0,5780.0,-0.9165896676355092,2021-07-06 16:29:01,2021-07-06 16:08:15,62.46222912395736,62.43021922066231
0.0,82.28192887427569,-17.040144202375508,1192.0,2116.0,4200.0,4916.0,-0.8671340667588194,2021-07-06 16:29:01,2021-07-06 16:08:15,62.462289219571474,62.430279235784425
0.0,82.28201824291189,-17.040098560630867,1311.0,1994.0,4032.0,4740.0,-0.7979298230806788,2021-07-06 16:29:01,2021-07-06 16:08:15,62.46234931522647,62.43033925094704
0.0,82.28210761154278,-17.040052917826134,1600.0,2948.0,5048.0,5808.0,-0.5365046098765474,2021-07-06 16:29:01,2021-07-06 16:08:15,62.46240941092235,62.43039926615018
0.0,82.28211374141428,-17.04071829937449,1874.0,3366.0,5564.0,6376.0,-0.5829100950381948,2021-07-06 16:29:01,2021-07-06 16:08:15,62.46234298840844,62.4303329326032
0.0,82.28220311011167,-17.040672663130124,4148.0,5816.0,7168.0,7800.0,-0.5232776372040691,2021-07-06 16:29:01,2021-07-06 16:08:15,62.462403084182476,62.43039294788442
1.0,81.90051171153868,-16.502787277601783,2560.0,4952.0,6680.0,7040.0,-0.5752636637095305,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28661730048333,62.25484128049234
1.0,81.90051866521348,-16.50342106963207,1944.0,4208.0,6156.0,6548.0,-0.6615840470362517,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28655068487845,62.25477475310563
1.0,81.90060797361932,-16.503371723788792,1326.0,3230.0,5376.0,6104.0,-0.6604614116259443,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28661056542152,62.2548345543497
1.0,81.90069728201873,-16.503322376853745,1192.0,2836.0,5152.0,5796.0,-0.7120799149105368,2021-07-06 16:29:01,2021-07-06 16:08:15,62.286670446006205,62.254894355635024
1.0,81.90079354334159,-16.503906842643552,1125.0,2592.0,4992.0,5588.0,-0.90357065223723,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28666371117242,62.25488762972014
1.0,81.90088285180578,-16.503857500423386,1125.0,2484.0,4876.0,5640.0,-1.1099294446965038,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28672359187799,62.254947431125906
1.0,81.90097216026349,-16.50380815711147,1126.0,2394.0,4812.0,5540.0,-1.064240920757829,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28678347262512,62.255007232572886
1.0,81.90106842089972,-16.504392648312287,1086.0,2236.0,4808.0,5556.0,-1.0533319581570686,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28677673809861,62.25500050696493
1.0,81.90115772942222,-16.50434330971584,1064.0,2166.0,4704.0,5408.0,-1.058075739018104,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28683661896666,62.2550603085324
1.0,81.90124703793826,-16.5042939700277,1099.0,2166.0,4484.0,5312.0,-1.1985854043361903,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28689649987629,62.25512011014108
1.0,81.90134329788782,-16.504878486641523,1113.0,2116.0,4564.0,5404.0,-1.318581375766974,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28688976565705,62.25511338484006
1.0,81.90143260646866,-16.50482915166941,1123.0,2028.0,4596.0,5496.0,-1.369209430401508,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28694964668758,62.25517318656921
1.0,81.90152191504303,-16.504779815605623,1117.0,1960.0,4420.0,5100.0,-1.381061139403895,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28700952775969,62.25523298833957
1.0,81.90152886566027,-16.505413687890158,1104.0,1956.0,4296.0,4996.0,-1.419284375960889,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28694291269635,62.25516646149592
1.0,81.90161817430587,-16.50536435763455,1107.0,1906.0,4296.0,5036.0,-1.4178550255181273,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28700279384775,62.255226263345506
1.0,81.90170748294503,-16.505315026287377,1120.0,1910.0,4472.0,5300.0,-1.441345248201756,2021-07-06 16:29:01,2021-07-06 16:08:15,62.287062675040744,62.255286065236334
1.0,81.90179679157775,-16.505265693848585,1124.0,1946.0,4308.0,5224.0,-1.426294150335273,2021-07-06 16:29:01,2021-07-06 16:08:15,62.287122556275335,62.255345867168394
1.0,81.90180374144988,-16.505899587924702,1158.0,1858.0,4108.0,4808.0,-1.3485218732490365,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28705594135681,62.25527934047
1.0,81.90189305015377,-16.505850261294622,1142.0,1918.0,4272.0,4928.0,-1.310412071939842,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28711582267066,62.25533914248125
1.0,81.90198235885126,-16.505800933573,1090.0,1996.0,4416.0,5200.0,-1.3825962099022462,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28717570402613,62.25539894453375
1.0,81.9020716675423,-16.505751604759812,1082.0,2028.0,4388.0,5052.0,-1.454805058253642,2021-07-06 16:29:01,2021-07-06 16:08:15,62.28723558542319,62.2554587466275
