x_atc,lat_ph,lon_ph,depth,depth_no_refraction,sd
8909356.5,79.74012543338529,-101.98288561054304,-0.4146965756868268,-0.5560132156156161,0.23633578541848876
8909359.0,79.7401501496337,-101.98291544346012,-0.444707996283571,-0.5962516633133133,0.23415776426639043
8909361.5,79.74017486588212,-101.98294527637718,-0.4747194168803152,-0.6364901110110104,0.23197974311429206
8909364.0,79.74019650516644,-101.98297161515873,-0.46117113506605595,-0.6183249652652647,0.2222689867141601
8909366.5,79.74021814445074,-101.98299795394028,-0.4476228532517967,-0.600159819519519,0.21255823031402818
8909369.0,79.7402397925838,-101.98302435281005,-0.46019913458364015,-0.6170217350350347,0.21796061490937477
8909371.5,79.74026144071686,-101.9830507516798,-0.47277541591548355,-0.6338836505505503,0.22336299950472138
8909374.0,79.74028310028991,-101.98307725159148,-0.4827255987308303,-0.6472245688688685,0.22772181549971254
8909376.5,79.74030475986297,-101.98310375150317,-0.49267578154617714,-0.6605654871871867,0.2320806314947038
8909379.0,79.74032952253205,-101.98313383117707,-0.5192096023871022,-0.6961412693693689,0.23647363521643636
8909381.5,79.74035428520114,-101.98316391085098,-0.5457434232280273,-0.7317170515515512,0.24086663893816895
8909384.0,79.74037597098445,-101.983190635499,-0.5440850594254695,-0.7294935651651648,0.2416747969713112
8909386.5,79.74039765676775,-101.98321736014704,-0.5424266956229117,-0.7272700787787785,0.24248295500445344
8909389.0,79.74041920236212,-101.98324388992542,-0.6287449700570709,-0.8430031331331327,0.24768369948824936
8909391.5,79.74044074795648,-101.9832704197038,-0.7150632444912302,-0.9587361874874869,0.2528844439720453
8909394.0,79.7404594098308,-101.98329306104566,-0.6972841235620206,-0.9348984546046044,0.23223365082294442
8909396.5,79.74047807170514,-101.98331570238751,-0.6795050026328112,-0.9110607217217219,0.21158285767384358
8909399.0,79.74050296598419,-101.98334570059714,-0.6109468160747809,-0.8191398812812816,0.22648125956215476
8909401.5,79.74052786026324,-101.98337569880675,-0.5423886295167504,-0.7272190408408412,0.2413796614504659
8909404.0,79.74055277337101,-101.98340604438934,-0.5413679286317246,-0.7258505145145147,0.2516557313945244
8909406.5,79.74057768647877,-101.98343638997194,-0.5403472277466989,-0.7244819881881881,0.26193180133858285
8909409.0,79.74059637864187,-101.98345913324277,-0.4929570402428163,-0.6609425907407407,0.22386024973295912
8909411.5,79.74061507080495,-101.98348187651362,-0.4455668527389337,-0.5974031932932933,0.1857886981273354
8909414.0,79.74063688871456,-101.98350845294823,-0.44751211924170886,-0.6000113505505507,0.17720652541422455
8909416.5,79.74065870662416,-101.98353502938284,-0.4494573857444841,-0.602619507807808,0.16862435270111364
