x_atc,lat_ph,lon_ph,depth,depth_no_refraction,sd
8918949.5,79.82431727036533,-102.07989637035864,-0.3754084087941019,-0.5033367738738743,0.23738072491009726
8918952.0,79.82433573456584,-102.07991914045891,-0.3772807830811842,-0.5058471993493496,0.23368075399357247
8918954.5,79.82435419876634,-102.0799419105592,-0.3791531573682664,-0.5083576248248249,0.2299807830770477
8918957.0,79.82437877724082,-102.07997271779499,-0.3805177617873746,-0.5101872470970972,0.22836787069628825
8918959.5,79.8244033557153,-102.08000352503076,-0.3818823662064828,-0.5120168693693694,0.2267549583155288
8918962.0,79.82442490536943,-102.08003021632972,-0.3818823662064828,-0.5120168693693694,0.22376555005348173
8918964.5,79.82444645502355,-102.08005690762867,-0.3818823662064828,-0.5120168693693694,0.22077614179143476
8918967.0,79.82446800634345,-102.08008370286439,-0.39358325002199124,-0.527705077127127,0.2188924990733827
8918969.5,79.82448955766336,-102.0801104981001,-0.4052841338374997,-0.5433932848848846,0.21700885635533063
8918972.0,79.82451111077418,-102.08013739866185,-0.4237079769162582,-0.5680954426426426,0.22471791750671624
8918974.5,79.82453266388501,-102.0801642992236,-0.4421318199950167,-0.5927976004004005,0.2324269786581018
8918977.0,79.82455420148487,-102.08019145388843,-0.451591144981949,-0.6054803906906905,0.2251828928367265
8918979.5,79.82457573908474,-102.08021860855328,-0.4610504699688813,-0.6181631809809804,0.21793880701535118
8918982.0,79.82459726775377,-102.08024594625054,-0.5080590614241587,-0.6811909454454455,0.21866346394962524
8918984.5,79.8246187964228,-102.0802732839478,-0.5550676528794359,-0.7442187099099105,0.2193881208838993
8918987.0,79.82464039285482,-102.08030020682094,-0.6762115002732028,-0.9066448886886889,0.20332900582760108
8918989.5,79.82466198928684,-102.08032712969406,-0.7973553476669695,-1.0690710674674673,0.18726989077130285
8918992.0,79.82468349109145,-102.08035354722568,-1.1168593353278227,-1.4974528048548548,0.21885837434378905
8918994.5,79.82470499289606,-102.08037996475731,-1.4363633229886759,-1.9258345422422423,0.25044685791627525
8918997.0,79.82472670918933,-102.08040685766996,-1.4080523358307926,-1.8878759866866865,0.25109432717634605
8918999.5,79.82474842548261,-102.0804337505826,-1.379741348672909,-1.8499174311311308,0.25174179643641686
8919002.0,79.82477011784658,-102.080460978943,-1.3390731916046228,-1.795390738338338,0.25458808086177437
8919004.5,79.82479181021057,-102.0804882073034,-1.2984050345363367,-1.7408640455455453,0.25743436528713187
8919007.0,79.82481345422764,-102.08051595470536,-1.2275548020548142,-1.6458700959959958,0.2484073663386368
8919009.5,79.8248350982447,-102.0805437021073,-1.1567045695732914,-1.5508761464464462,0.2393803673901417
8919012.0,79.82485999991265,-102.0805742158744,-1.0701098409847636,-1.43477243033033,0.2522729719770129
8919014.5,79.82488490158059,-102.08060472964152,-0.9835151123962359,-1.3186687142142137,0.26516557656388406
8919017.0,79.82490659840482,-102.08063231955296,-0.8750417499596086,-1.1732307564564564,0.23756160144935673
8919019.5,79.82492829522904,-102.0806599094644,-0.7665683875229813,-1.027792798698699,0.2099576263348294
8919022.0,79.82495009753762,-102.08068673755842,-0.7136433000934914,-0.9568323669669665,0.21990831846746914
8919024.5,79.82497189984619,-102.08071356565245,-0.6607182126640014,-0.885871935235234,0.2298590106001089
8919027.0,79.82499367523133,-102.08074072310144,-0.6154782631932836,-0.8252155149649645,0.2548523053493082
8919029.5,79.82501545061646,-102.08076788055044,-0.5702383137225658,-0.764559094694695,0.27984560009850745
8919032.0,79.8250372040337,-102.0807953160724,-0.553175912972535,-0.7416823195695699,0.2656405728470282
8919034.5,79.82505895745095,-102.08082275159435,-0.5361135122225041,-0.7188055444444448,0.25143554559554887
8919037.0,79.82508078663203,-102.08084965720414,-0.5158741839639327,-0.6916692364864869,0.2424051944048907
8919039.5,79.82510261581311,-102.08087656281393,-0.49563485570536125,-0.6645329285285291,0.23337484321423244
