lat_ph,delta_time,dist_ph_across,dist_ph_along,h_ph,lon_ph,ph_id_channel,ph_id_count,ph_id_pulse,quality,weight_ph,x_atc,y_atc
82.01505406030793,109798941.391159,-3215.795,11.7561865,17.103737,-61.18062299857991,78,5,50,0,79,9168971.0,-3215.795
82.0150537562422,109798941.391159,-3215.745,11.734154,24.852217,-61.18062574077872,18,7,50,0,70,9168971.0,-3215.745
82.01505843575033,109798941.391159,-3216.51,12.072841,-94.12572,-61.18058365344682,18,8,50,0,64,9168971.0,-3216.51
82.01505934420184,109798941.391159,-3216.6584,12.138587,-117.224075,-61.1805754823441,20,4,50,0,36,9168971.0,-3216.6584
82.01506026960207,109798941.391159,-3216.8096,12.2055,-140.73035,-61.18056716858385,80,5,50,0,13,9168971.0,-3216.8096
82.01506002424512,109798941.391159,-3216.7695,12.187707,-134.50832,-61.180569368442576,77,8,50,0,43,9168971.0,-3216.7695
82.01506216368035,109798941.391159,-3217.1194,12.342822,-188.89915,-61.180550127620094,19,4,50,0,20,9168971.0,-3217.1194
82.01506328868304,109798941.391159,-3217.3032,12.42407,-217.48233,-61.180540017450696,78,9,50,0,17,9168971.0,-3217.3032
82.01502498218414,109798941.391259,-3210.039,9.915545,912.5685,-61.18095134842191,17,1,51,0,19,9168969.0,-3210.039
82.0150265101648,109798941.391259,-3210.2888,10.026152,873.69574,-61.18093760071486,18,1,51,0,40,9168969.0,-3210.2888
82.01503201266662,109798941.391259,-3211.188,10.4244,733.7929,-61.18088812741139,77,2,51,0,15,9168969.0,-3211.188
82.01503677459127,109798941.391259,-3211.9663,10.769239,612.7069,-61.18084530510944,19,1,51,0,23,9168970.0,-3211.9663
82.01503633738284,109798941.391259,-3211.895,10.737604,623.8109,-61.180849231148095,79,2,51,0,25,9168970.0,-3211.895
82.01503630630681,109798941.391259,-3211.89,10.73529,624.6055,-61.18084951250595,20,1,51,0,26,9168970.0,-3211.89
82.01503765501404,109798941.391259,-3212.1104,10.832904,590.32025,-61.18083738785713,80,2,51,0,68,9168970.0,-3212.1104
82.01503820761329,109798941.391259,-3212.2007,10.873032,576.2658,-61.18083241708329,78,2,51,0,43,9168970.0,-3212.2007
82.01503934266556,109798941.391259,-3212.386,10.955229,547.41895,-61.180822216035416,20,3,51,0,16,9168970.0,-3212.386
82.01503990566474,109798941.391259,-3212.478,10.995754,533.09875,-61.18081715109725,18,4,51,0,34,9168970.0,-3212.478
82.01504673318927,109798941.391259,-3213.594,11.490318,359.50812,-61.18075575648533,79,3,51,0,62,9168970.0,-3213.594
82.01504749868843,109798941.391259,-3213.719,11.54555,340.03638,-61.180748868913525,19,4,51,0,25,9168971.0,-3213.719
82.01504862586519,109798941.391259,-3213.9033,11.627053,311.36777,-61.18073872833471,17,4,51,0,10,9168971.0,-3213.9033
82.01504926795043,109798941.391259,-3214.0083,11.673793,295.05176,-61.180732958138094,80,4,51,0,42,9168971.0,-3214.0083
82.01505061798167,109798941.391259,-3214.229,11.771536,260.7361,-61.18072082144043,20,5,51,0,10,9168971.0,-3214.229
82.01505246816195,109798941.391259,-3214.5312,11.905234,213.6837,-61.18070417801789,78,5,51,0,41,9168971.0,-3214.5312
82.01505344048458,109798941.391259,-3214.6902,11.97557,188.97537,-61.18069543945941,18,6,51,0,51,9168971.0,-3214.6902
82.01505381019477,109798941.391259,-3214.7507,12.002621,179.57338,-61.18069211372216,79,5,51,0,55,9168971.0,-3214.7507
82.01505437263444,109798941.391259,-3214.8425,12.043205,165.26912,-61.18068705382228,78,7,51,0,26,9168971.0,-3214.8425
82.01505485682335,109798941.391259,-3214.9216,12.078378,152.96555,-61.18068270239788,19,6,51,0,82,9168971.0,-3214.9216
