x_atc,lat_ph,lon_ph,depth
8908827.5,79.74751879810381,-107.3675144358346,-0.22701044788281616
8908832.5,79.74754361674445,-107.367543054762,-0.26605108409598494
8908837.5,79.74759934685972,-107.36760840549516,-0.3178255788435291
8908842.5,79.74765513159561,-107.36767335160052,-0.4231962146838663
8908847.5,79.74768613067481,-107.36770939742286,-0.5109577947091606
8908852.5,79.7477419438698,-107.36777418223906,-0.5113659528300423
8908857.5,79.74776050288239,-107.36779615914313,-0.9179880311836784
8908862.5,79.74781014224565,-107.36785362983032,-0.9764568669169773
8908867.5,79.747859731464,-107.36791156236472,-0.9943956471720189
8908872.5,79.74790935964815,-107.36796925217618,-0.9932573100548338
8908877.5,79.7479465834873,-107.36801255744838,-0.9678561217287894
8908882.5,79.7480024033381,-107.36807770891008,-0.9643071020859547
8908887.5,79.74804584450366,-107.36812827959096,-0.9406608386118889
8908892.5,79.74808308219401,-107.36817166711634,-0.908990658700418
8908897.5,79.74812650328202,-107.3682225320076,-0.9184746156461507
8908902.5,79.74817620610348,-107.3682801265441,-0.8898438792129363
8908907.5,79.74821969260088,-107.36833066216646,-0.8358732957604307
8908912.5,79.74825693100982,-107.3683743309271,-0.3567205963546922
