Meltpond_ID,xs_drift,ys_drift
1,-0.0033318822036488244,-0.0022260103387474646
2,-0.0033643387639880683,-0.0011289568158347584
3,-0.003101132159840965,-0.0012174183048138376
4,-0.003385328219185997,-0.0010621933326592555
5,-0.003370038561972164,-0.0010482855375690758
6,-0.0023126755969912417,-0.003406552297931542
7,-0.003334357283396084,-0.00225009841308317
8,-0.0030855418375572087,-0.002173378251399166
9,-0.0032960537181940257,-0.002223754349395695
10,-0.003255028845131338,-0.002183575769472865
11,-0.0033804076924826066,-0.0021300436441297164
12,-0.0033474970205829143,-0.0021917712408740684
13,-0.0021949254569299443,-1.8761534410871786e-05
14,-0.0033086904230908583,-0.002142046625545503
15,-0.003352578807399907,-0.0021204738712104075
16,-0.003276414244409703,-0.002039115286553791
17,-0.0034111447468683285,-0.0011271422812009532
18,-0.003451151398886123,-4.878428544308509e-05
